Item Control Number,File Name,Title
WMUC-Reel-111,bcast-018905-0001,"The Electric Radio: Classical Music in Rock, February 12, 1972"
WMUC-Reel-112,bcast-018906-0001,"WMUC News: Election Coverage, 1984"
WMUC-Reel-113,bcast-018861-0001,"Commercial: Pool 9 Tournament promo, undated"
WMUC-Reel-114,bcast-018907-0001,"WMUC News: Election Night, 1984"
