XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,ItemControlNumber,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Contributor,AlternateTitle,Title,Provider/Publisher,Description/Summary,Collection,AccessionNumber,PhysicalLocation,Repository,CopyrightHolder,Rights,Subjects,Genre,Century,DateAttribute,DateCreated,OriginalBroadcastDate,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,Dimensions,TypeOfMaterial,PlaybackSpeed,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,NoteToHenry,Finished,Cassette Information
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=74a118adf94248a,1.1.1.3.0,scpa-020857-0001,00:30:38,00:28:54,Side A includes a thumping sound at random times throughout,DCMR,"Ostrye, Sarah",2013-05-30,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Sony; Length: 60; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=4603361fa8e048b,1.1.1.3.0,scpa-020857-0002,00:30:40,00:11:39,Side B,DCMR,"Ostrye, Sarah",2013-05-30,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Sony; Length: 60; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMDM,,,,,1.1.1.4.0,,,,,,,,,,,,,"Lanford Wilson - Sag Harbor, NY - Interviewer: Jackson R. Bryer (two cassettes), May 20, 1993",,"Lanford Wilson interviewed by University of Maryland professor Jackson R. Bryer on May 20, 1993. ",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,,1993-05-20,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,Sag Harbor,,Tape hiss and hum from recorder persistent across recording; end of Side A of first tape is cut off; beginning and end of Side B of first tape are cut off; mechanical squeal on Side A of second tape.,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=95bf1320ef5143b,1.1.1.4.0,scpa-020406-0001,00:47:37,00:47:18,Side A,DCMR,"Allen, Sara",2013-06-04,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Hi-Fi Recording (HF Sony); Length: 90; Oxide: Type I; Noise reduction: none; Equalization: Type I
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=ac67a3531a9a46a,1.1.1.4.0,scpa-020406-0002,00:47:32,00:47:15,Side B,DCMR,"Allen, Sara",2013-06-04,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Hi-Fi Recording (HF Sony); Length: 90; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=2a3c063771174f3,1.1.1.4.0,scpa-020406-0003,00:47:15,00:01:42,"Side B of the second tape is 00:47:28 but is blank, so no derivatives of it exist. ",DCMR,"Allen, Sara",2013-06-04,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Hi-Fi Recording (HF Sony); Length: 90; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMDM,,,,,1.1.1.5.0,,,,,,,,,,,,,"Ntozake Shange - Philadelphia, PA - Interviewer: Mary Helen Washington, December 10, 1993",,"Ntozake Shange interviewed by Mary Helen Washington on December 10, 1993.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,,1993-12-10,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,Pennsylvania,Philadelphia,,Cyclical muted popping that begins in 45th minute and continues through end of recording was likely derived from the original cassette recorder. ,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=35135cb612fd4a5,1.1.1.5.0,scpa-020858-0001,00:59:56,00:57:37,"Side A; Side B is 00:59:51 but is blank, so no derivatives of it exist.",DCMR,"Ostrye, Sarah",2013-05-30,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Supertape; Length: 120; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMDM,,,,,1.1.1.6.0,,,,,,,,,,,,,"Neil Simon - Washington DC - Interviewer: Jackson R. Bryer, January 23, 1991",,"Neil Simon interviewed by University of Maryland professor Jackson R. Bryer on January 23, 1991.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,,1991-01-23,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,Washington DC,,,Interview begins without introductions; Side A is cut off at end; general tape hiss; cyclical clicking throughout recording; left channel is slightly stronger.,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=5dbda3cdca234c9,1.1.1.6.0,scpa-020985-0001,00:45:56,00:45:47,Side A,DCMR,"Allen, Sara",2013-06-05,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Hi-Fi Recording (HF Sony); Length: 90; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
