XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,Series,Subseries,Box,Item,ArchivalCollection,CopyrightHolder,Rights,RepositoryBrowse,TopicalSubject,GeographicalSubject,PersonalSubject,CorpSubject,MediaType,FormType,Form,Format,Dimensions,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,Finished,DigitizationNotes,Department,TopicalScheme,GeographicalScheme,PersonalScheme,CorpScheme
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=b3e5133310b7441,Traver 16,scpa-024152-0001,0:44:05,0:44:05,George Blood Audio Video,,12/12/13,Ampex ATR104,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=3954a6563d2445e,Traver 16,scpa-024152-0002, 00:34:30,0:34:30,George Blood Audio Video,,12/12/13,Ampex ATR104,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 17,,,,,,,,,,"Poulenc concerto with two pianos, April 29, 1965",Poulenc - Concerto 2 Pianos,,,,,,,"Poulenc concerto with two pianos, April 29, 1965.",Music & Performing Arts,,4/29/65,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Maryland,College Park,,hiss; pops in preservation master removed from derivatives,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=aa2b348f3cf3434,Traver 17,scpa-024153-0001,0:19:42,0:19:42,George Blood Audio Video,,12/12/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 18,,,,,,,,,,"University of Maryland Music Department, Chamber Chorus with Instrumental Ensemble, Paul Traver, conductor, May 12, 1965",Chamber - Choral Concert,,,,,,,"University of Maryland Music Department, Chamber Chorus with Instrumental Ensemble, Paul Traver, conductor. Featured pieces by Bach, Brahms, Beethoven, Mozart, and many others. This choral concert occurred at Memorial Chapel at 8:00 PM on May 12, 1965. ",Music & Performing Arts,,5/12/65,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: UMD Music Department - Choral Concert - Chamber Chorus with Instrumental Ensemble - Paul Traver, Conductor. May 12 1965 - 8pm - Memorial Chapel. Pieces by Bach, Brahms, Beethoven, Mozart, and many others.",,,,,North America,United States of America,Maryland,College Park,,hiss,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=bc3eb23f3d8d4ab,Traver 18,scpa-024154-0001,0:34:47,0:34:47,George Blood Audio Video,,12/12/13,Ampex ATR104,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=17223ce2481b4c1,Traver 18,scpa-024154-0002,0:32:42,0:32:42,George Blood Audio Video,,12/12/13,Ampex ATR104,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 19,,,,,,,,,,"Easter special with Cardinal Baum, Archbishop of Washington, at St. Matthew's Cathedral, features a 100-voice choir singing Handel's Messiah, 1978",Easter Special 1978,,,,,,,"Easter special with Cardinal Baum, Archbishop of Washington, at St. Matthew's Cathedral, features a 100-voice choir singing Handel's Messiah, 1978.",Music & Performing Arts,circa,1978,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: with Cardinal Baum, Archbishop of Washington - St. Matthew's Cathedral - 100 Voice Choir - Handel's Messiah - 27:10",,,,,North America,United States of America,District of Columbia,Washington,,hiss; occasional audio distortion,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=8ffd643448e9443,Traver 19,scpa-024155-0001,0:27:24,0:27:24,George Blood Audio Video,,12/12/13,Studer A-80RC,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 20,,,,,,,,,,"Christmas special with Cardinal Baum, Archbishop of Washington, at St. Matthew's Cathedral, 1977",Christmas Special 1977,,,,,,,"Christmas special with Cardinal Baum, Archbishop of Washington, at St. Matthew's Cathedral, 1977.",Music & Performing Arts,circa,1977,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: with Cardinal Baum, Archbishop of Washington - St. Matthew's Cathedral -  - 28:35",,,,,North America,United States of America,District of Columbia,Washington,,hiss; occasional slight distortion,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=0eadc62b48d04cf,Traver 20,scpa-024156-0001,0:28:03,0:28:03,George Blood Audio Video,,12/13/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 21,,,,,,,,,,"Pops concert performance: 1. Morpheus; 2. Paris; 3. Greetings Op. 11 No. 3; 4. Four Songs From Rev. War; 5. Selections King & I; 6. Selections Oklahoma; 7. Praelusio from Catulli, Carmina, undated",Pops Concert,,,,,,,"Pops concert performance: 1. Morpheus; 2. Paris; 3. Greetings Op. 11 No. 3; 4. Four Songs From Rev. War; 5. Selections King & I; 6. Selections Oklahoma; 7. Praelusio from Catulli, Carmina. Recorded by David Clipsham, WMUC. Undated.",Music & Performing Arts,circa,196X-05-21,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: 1. Morpheus; 2. Paris; 3. Greetings Op. 11 No. 3; 4. Four Songs From Rev. War; 5. Selections King & I; 6. Selections Oklahoma; 7. Praelusio from Catulli, Carmina. Recorded by David Clipsham, WMUC",,,,,North America,United States of America,Maryland,College Park,,"hiss; technician's note: ""Starts as mono then becomes stereo. Kept as stereo for master but made it into mono for rest.""",yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=7f37b5661d704b9,Traver 21,scpa-024157-0001,0:23:12,0:23:12,George Blood Audio Video,,12/13/13,Studer A-80RC,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 22,,,,,,,,,,"University of Maryland Chamber Singers, February 20, 1974",University of Maryland Chamber Singers,,,,,,,"University of Maryland Chamber Singers, February 20, 1974.",Music & Performing Arts,,2/20/74,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Maryland,College Park,,hiss; audio drop outs; removed test tone from 00:00:05-00:02:29 from newly-produced derivatives ,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9e76b9fcbcf84d8,Traver 22,scpa-024158-0001,0:37:12,0:34:47,George Blood Audio Video,,12/12/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 23,,,,,,,,,,"Schutz: Psalmen Davids II, undated",Schutz: Psalmen Davids II,,,,,,,"Choral Performance: A: Record 3, Sides 1 and 2; B. Record 3, Side 2. Vienna Chamber Choir, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: A: Record 3, Sides 1 & 2; B. Record 3, Side 2. Vienna Chamber Choir.",,,,,North America,United States of America,Maryland,College Park,,beginnings and ends cut off; buzz; clicks and pops; hiss,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=3f56406be6b7417,Traver 23,scpa-024159-0001,0:41:45,0:41:45,George Blood Audio Video,,12/13/13,Studer A-80RC,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=f7d011f6e2664fb,Traver 23,scpa-024159-0002,0:47:51,0:47:51,George Blood Audio Video,,12/13/13,Studer A-80RC,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 25,,,,,,,,,,"Choral Performance: 1. Horatio Parker - Prelude to Mona; 2. Howard Hanson - Merry Mount Excerpts, Mercury Stereo, undated",Unknown,,,,,,,"Choral Performance: 1. Horatio Parker - Prelude to Mona; 2. Howard Hanson - Merry Mount Excerpts, Mercury Stereo, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: 1. Horatio Parker - Prelude to Mona; 2.Howard Hanson - Merry Mount Excerpts, Mercury Stereo",,,,,North America,United States of America,Maryland,College Park,,hiss; possible interstitial error at 00:34:07,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=2afd5984e3a94db,Traver 25,scpa-024161-0001,0:40:50,0:40:50,George Blood Audio Video,,12/13/13,Ampex ATR104,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 26,,,,,,,,,,"Berlioz Requiem performed at Tanglewood, by the Boston Symphony Orchestra - Charles Munch, Conductor - John McCollum, Tenor - and the Festival Chorus (New England Conservatory and University of Maryland Singers), in the summer of 1959",Berlioz Requiem,,,,,,,"Berlioz Requiem performed at Tanglewood, in the summer of 1959, by the Boston Symphony Orchestra - Charles Munch, Conductor - John McCollum, Tenor - and the Festival Chorus (New England Conservatory and University of Maryland Singers). Recorded from a delayed broadcast heard over the QXR Network on December 19, 1959.",Music & Performing Arts,,12/19/59,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: Tanglewood, Summer 1959 - Boston Symphony Orchestra - Charles Munch, Conductor - John McCollum, Tenor - Festival Chorus (New England Conservatory & UMD Singers). Recorded from a delayed broadcast heard over the QXR Network on December 19, 1959",,,,,North America,United States of America,Massachusetts,Lenox,,"hiss; distortion; flutter; technician's note: ""Fluttering on original tape. Poor recording.""; pops in preservation masters removed from derivatives",yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=f952213f616b498,Traver 26,scpa-024162-0001,0:56:25,0:56:25,George Blood Audio Video,,12/13/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=961d1f186f90495,Traver 26,scpa-024162-0002,0:36:35,0:36:35,George Blood Audio Video,,12/13/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 27,,,,,,,,,,"Verdi Requiem, reel 3 of 3, as performed by the University of Maryland Chorus, National Symphony, Wolf Trap Farm Park, Vienna VA, undated",Verdi Requiem - Reel 3,,,,,,,"Verdi Requiem, reel 3 of 3, as performed by the University of Maryland Chorus, National Symphony, Wolf Trap Farm Park, Vienna VA, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Virginia,Vienna,,hiss; reduced blank from 00:13:21-00:20:40 to 30 seconds in newly-produced derivatives; same first 00:13:20 of content is repeated after blank section ,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=6cf9b367494245a,Traver 27,scpa-024163-0001,0:50:23,0:43:34,George Blood Audio Video,,12/13/13,Studer A-80RC,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 28,,,,,,,,,,"Choral performance, undated",Unknown,,,,,,,"Choral performance, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Maryland,College Park,,hiss,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=888e3589a3aa41f,Traver 28,scpa-024164-0001,0:23:46,0:23:46,George Blood Audio Video,,12/13/13,Studer A-80RC,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 29,,,,,,,,,,"Messiah, reel 2, undated",Messiah - Reel 2,,,,,,,"Messiah, reel 2, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Maryland,College Park,,hiss,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=b8589de90749483,Traver 29,scpa-024165-0001,0:29:20,0:29:20,George Blood Audio Video,,12/13/13,Ampex ATR104,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 30,,,,,,,,,,"Messiah, reel 3, undated",Messiah - Reel 3,,,,,,,"Messiah, reel 3, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Maryland,College Park,,hiss,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=ee286960b86b4ad,Traver 30,scpa-024166-0001,0:43:21,0:43:21,George Blood Audio Video,,12/13/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 31,,,,,,,,,,"Johannes Brahms, Requiem, reel 1, undated",Johannes Brahms - Requiem - Reel 1,,,,,,,"Choral Performance: E. Grummer; Berlin Philharmonic, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance: E. Grummer; Berlin Philharmonic,,,,,North America,United States of America,Maryland,College Park,,hiss; content during opening five minutes of first file is solo piano music; series of loud pops between 00:21:58-00:23:18 in second file,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=23e13fd70ec74c6,Traver 31,scpa-024167-0001,0:31:14,0:31:14,George Blood Audio Video,,12/13/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,mono,,,,,,,,,,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=edea26175562410,Traver 31,scpa-024167-0002,0:31:27,0:31:27,George Blood Audio Video,,12/13/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,mono,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 32,,,,,,,,,,"Verdi Requiem, reel 1 of 3, as performed by the University of Maryland Chorus, National Symphony, Wolf Trap Farm Park, Vienna VA, undated",Verdi Requiem - Reel 1,,,,,,,"Verdi Requiem, reel 1 of 3, as performed by the University of Maryland Chorus, National Symphony, Wolf Trap Farm Park, Vienna VA, undated.",Music & Performing Arts,circa,1975-78,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: UMD Chorus, National Symphony, Wolf Trap Farm Park, Vienna VA",,,,,North America,United States of America,Virginia,Vienna,,hiss; 5k hum and audio phase errors throughout entire recording,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=db4c8f0287e0404,Traver 32,scpa-024168-0001,0:30:24,0:30:24,George Blood Audio Video,,12/13/13,Ampex ATR104,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 33,,,,,,,,,,"Verdi Requiem, reel 2 of 3, as performed by the University of Maryland Chorus, National Symphony, Wolf Trap Farm Park, Vienna VA, undated",Verdi Requiem - Reel 2,,,,,,,"Verdi Requiem, reel 2 of 3, as performed by the University of Maryland Chorus, National Symphony, Wolf Trap Farm Park, Vienna VA, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Virginia,Vienna,,hiss; buzz,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=77d872782bca49e,Traver 33,scpa-024169-0001,0:24:22,0:24:22,George Blood Audio Video,,12/13/13,Studer A-80RC,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 34,,,,,,,,,,"A Midnight Christmas Concert, tape 2 of 2, December 4, 1976",A Midnight Christmas Concert,,,,,,,"University of Maryland Chorus Midnight Christmas Concert, tape 2 of 2, December 4, 1976.",Music & Performing Arts,,12/4/76,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance: Tape 2 of 2,,,,,North America,United States of America,Maryland,College Park,,"hiss; distortion; drop outs in both channels at different times; technician's notes: ""Over saturated on original tape. Fluttering at times.""",yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=42197b9e45ae4e9,Traver 34,scpa-024170-0001,0:40:22,0:40:22,George Blood Audio Video,,12/13/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 35,,,,,,,,,,"University of Maryland Chorus annual Christmas program, 1966",University of Maryland Annual Christmas Program 1966,,,,,,,"University of Maryland Chorus annual Christmas program: Part 1 - Britten and Pachelbel, 1966.",Music & Performing Arts,circa,1966,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: Part 1 - Britten, Pachelbel",,,,,North America,United States of America,Maryland,College Park,,hiss; distortion,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=674b18d5295d4c9,Traver 35,scpa-024171-0001,0:34:09,0:34:09,George Blood Audio Video,,12/13/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 36,,,,,,,,,,"A Midnight Christmas Concert, tape 1 of 2, December 4, 1976",A Midnight Christmas Concert,,,,,,,"University of Maryland Chorus Midnight Christmas Concert, tape 1 of 2, December 4, 1976.",Music & Performing Arts,,12/4/76,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance: Tape 1 of 2,,,,,North America,United States of America,Maryland,College Park,,hiss; removed test tone from 00:00:05-00:00:20 from newly-produced derivatives ,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=5040e057552f451,Traver 36,scpa-024172-0001,0:41:00,0:40:44,George Blood Audio Video,,12/13/13,Studer A-80RC,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 37,,,,,,,,,,"Choral performance, April 25, 1984",Unknown,,,,,,,"Choral performance, April 25, 1984.",Music & Performing Arts,,4/25/84,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Maryland,College Park,,beginning and end cut off; hiss,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=037c156ed621454,Traver 37,scpa-024173-0001,0:48:17,0:48:17,George Blood Audio Video,,12/13/13,Ampex ATR104,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
