XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,Series,Subseries,Box,Item,ArchivalCollection,CopyrightHolder,Rights,RepositoryBrowse,TopicalSubject,GeographicalSubject,PersonalSubject,CorpSubject,MediaType,FormType,Form,Format,Dimensions,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,Finished,DigitizationNotes,Department,TopicalScheme,GeographicalScheme,PersonalScheme,CorpScheme
UMDM,,,,,Traver 6,,,,,,,,,,"University of Maryland Women's Chorus and Men's Glee Club, Paul Traver, Director, undated","University of Maryland Women's Chorus and Men's Glee Club: Paul Traver, Director",,,,,,,"University of Maryland Women's Chorus and Men's Glee Club, Paul Traver, Director, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Maryland,College Park,,hiss; wow and flutter affect consistency of pitch,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=e8056ceeea3c4f2,Traver 6,scpa-024142-0001,0:25:03,0:25:03,George Blood Audio Video,,12/12/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 7,,,,,,,,,,"The University of Maryland Women's Chorus & Men's Glee Club with Brass Ensemble, ""Traditional Christmas program"" performance at Memorial Chapel, December 17, 1963",The University of Maryland Women's Chorus & Men's Glee Club with Brass Ensemble,,,,,,,"The University of Maryland Women's Chorus & Men's Glee Club with Brass Ensemble, ""Traditional Christmas program"" performance at Memorial Chapel, presented by the Associated Women Students and the Beta chapter of Sigma Alpha Epsilon on December 17, 1963.",Music & Performing Arts,,12/17/63,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance at Memorial Chapel, UMD: ""Traditional Christmas Program"" presented by the Associated Women Students and the Beta chapter of Sigma Alpha Epsilon",,,,,North America,United States of America,Maryland,College Park,,ampersand in title did not appear in embedded metadata,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9e28772a2562457,Traver 7,scpa-024143-0001,0:17:51,0:17:51,George Blood Audio Video,,12/12/13,Ampex ATR104,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 8,,,,,,,,,,"University of Maryland Choral performance: ""Three Chants for Christmas"", first half of Christmas program at the Pan Am, fall 1962",#1 Concert,,,,,,,"University of Maryland Choral performance: ""Three Chants for Christmas"", first half of Christmas program at the Pan Am, fall 1962.",Music & Performing Arts,circa,1962,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: ""Three Chants For Christmas; First half of Christmas Program at the Pan Am; Fall 62""",,,,,North America,United States of America,Maryland,College Park,,"buzz; hiss; technician's note: ""Phasing issues at top.""",yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=152abf9f81e0410,Traver 8,scpa-024144-0001,0:30:27,0:30:27,George Blood Audio Video,,12/12/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 9,,,,,,,,,,"University of Maryland combined Glee Clubs, undated",University of Maryland Combined Glee Clubs,,,,,,,"University of Maryland combined Glee Clubs choral performance: program: Morpheus - Billings; Paris - Billings; O Bono Jesu - Palestrina; In Paradisum from the Requiem - Faure; Gloria from the Christmas Oratorio - Bach; Deep River - Negro Spiritual - El Ratonico - Spanish Folk Song. Paul Traver, Director - audition tape for professional conference, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: Program: Morpheus - Billings; Paris - Billings; O Bono Jesu - Palestrina; In Paradisum from the Requiem - Faure; Gloria from the Christmas Oratorio - Bach; Deep River - Negro Spiritual - El Ratonico - Spanish Folk Song. Paul Traver, Director - Audition Tape For Professional Conference",,,,,North America,United States of America,Maryland,College Park,,hiss,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=a11f7591ac8b4c3,Traver 9,scpa-024145-0001,0:13:37,0:13:37,George Blood Audio Video,,12/12/13,Studer A-80RC,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,mono,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 11,,,,,,,,,,"Stravinsky - Pater Noster, Stravinsky - Ave Maria, Dylan Thomas - ""In Memoriam"", undated",[Illegible] 66,,,,,,,"Stravinsky - Pater Noster, Stravinsky - Ave Maria, Dylan Thomas - ""In Memoriam"", undated.",Music & Performing Arts,circa,19XX-03-21,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: Stravinsky - Pater Noster, Stravinsky - Ave Maria, Dylan Thomas - ""In Memoriam""",,,,,North America,United States of America,Maryland,College Park,,beginning cut off; distortion; hiss,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=16031d949cf74fa,Traver 11,scpa-024147-0001,0:12:53,0:12:53,George Blood Audio Video,,12/12/13,Ampex ATR104,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 12,,,,,,,,,,"In The Beginning Of Creation and Collect, ECS Mixed Media Series, undated",In The Beginning Of Creation/Collect,,,,,,,"ECS Mixed Media Series, No. 2902 / L.P. - 1. Daniel Pinkham - ""In the beginning of creation"" for mixed media and electronic tape. 2. Leslie Bassett - ""Collect"", World Library of Sacred Music, 1970.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance: ECS Mixed Media Series, No. 2902 / I.P. - 1. Daniel Pinkham - ""In the beginning of creation"" for mixed media and electronic tape. 2. Leslie Bassett - ""Collect"", World Library of Sacred Music, 1970.",,,,,North America,United States of America,Maryland,College Park,,hiss,yes,,Special Collections in Performing Arts,,,,
