XML Type,Item Control Number,File Name,TotalRunTimeMasters,TotalRunTimeDerivatives,Digitization Notes,Recording Notes,Track Format,Mono/Stereo,DigitizedByDept,DigitizedByPers,DateDigitized,Title,Alternate Title,Contributor,Provider/Publisher,Description/Summary,Frequency,Collection,Accession Number,Box Number,Repository,Copyright Holder,Rights,Subjects,Genre,CreatedDateCertainty,DateAnalogCreated,OriginalBroadcastDate,SizeReel,TypeofMaterial,InchesperSecond,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,PlaybackDevice,AnalogInterface,DigitizationSoftware,QA,NOTE TO HENRY,Finished,UMDM,UMAM,ShareStreamURLs,
UMDM,WMUC-Reel-188,,,,,,,,,,,"The Cranium, Third Radio Radio live performance, undated","The Cranium, Third Radio Radio Live performance, ADAT",,"WMUC (Radio station : College Park, Md.)","The Cranium, Third Radio Radio, WMUC, University of Maryland, undated.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,undated,undated,,ADAT,,instrumental music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-188,bcast-019753-0001,00:32:29,00:31:56,"48000 hz/24 bits; the ADAT contained stems of the following content which can be found in the masters, bcast-019753-0001 = kick drum, bcast-019753-0002 = drum overheads 1, bcast-019753-0003 = drum overheads 2, bcast-019753-0004 = drum overheads 3, bcast-019753-0005  = bass guitar, bcast-019753-0006 = guitar, bcast-019753-0007 = room mic 1, bcast-019753-0008 = room mic 2; bcast-019753-0009 is the mixed down submaster produced for derivatives; on Wells drive",,,mono,DCMR,"Borchers, Henry",2013-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=741ce46677ef404,
UMDM,WMUC-Reel-189,,,,,,,,,,,"Silos, Third Rail Radio #28, 1997","Silos, Third Rail Radio #28, 1997, ADAT",,"WMUC (Radio station : College Park, Md.)","Silos, Third Rail Radio #28, WMUC, University of Maryland, 1997.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,circa,1997,1997,,ADAT,,vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-189,bcast-019767-0001,00:41:05,00:23:07,"48000 hz/24 bits; the ADAT contained stems of the following content which can be found in the masters, bcast-019767-0001 = kick drum, bcast-019767-0002 = snare drum, bcast-019767-0003 = drum overhead mic, bcast-019767-0004 = bass guitar , bcast-019767-0005 = guitar 1, bcast-019767-0006 = guitar 2, bcast-019767-0007 = vocals, bcast-019767-0008 = room mic; bcast-019767-0009 is the submaster produced for derivatives; Vocal was recorded with a -10 dB pad; vocal track was boosted 10 dB in mixed down derivatives to compensate; on Wells drive",,,mono,DCMR,"Borchers, Henry",2013-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=3fe758e370b946e,
UMDM,WMUC-Reel-190,,,,,,,,,,,"Olympic Death Squad, Third Rail Radio #27, 4/20/1997","Olympic Death Squad, Third Rail Radio #27, 4/20/1997, ADAT",,"WMUC (Radio station : College Park, Md.)","Olympic Death Squad, Third Rail Radio #27, WMUC, University of Maryland, April 20, 1997.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,1997-04-20,1997-04-20,,ADAT,,vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-190,bcast-019602-0001,00:41:53,00:33:47,"48000 hz/24 bits; the ADAT contained stems of the following content which can be found in the masters, bcast-019602-0001 = guitar mic 1, bcast-019602-0002 = drum machine mic 2, bcast-019602-0003 = vocals, bcast-019602-0004 = guitar mic 2, bcast-019602-0005  = drum machine mic 2, bcast-019602-0006 vocals mic 2, bcast-019602-0007 = empty, bcast-019602-0008 = empty; bcast-019602-0009 is the submaster produced for derivatives; on Wells drive",,,mono,DCMR,"Borchers, Henry",2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=07ef5fabe40a4ae,
UMDM,WMUC-Reel-191,,,,,,,,,,,"The Van Pelt, Third Rail Radio #13, 12/7/1997","The Van Pelt, Third Rail Radio #13, 12/7/1997, ADAT",,"WMUC (Radio station : College Park, Md.)","The Van Pelt, Third Rail Radio #13, WMUC, University of Maryland, December 7, 1997.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,1997-12-07,1997-12-07,,ADAT,,,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-191,bcast-019948-0001,00:40:52,00:39:46,"48000 hz/24 bits; the ADAT contained stems of the following content which can be found in the masters, bcast-019948-0001 = snare drum, bcast-01994-0002 = bass drum, bcast-019948-0003 = bass guitar, bcast-019948-0004 = guitar 1, bcast-019948-0005 = vocals, bcast-019948-0006 = guitar 2, bcast-019948-0007 = backing vocals 1, bcast-019948-0008 = backing vocal 2; bcast-019948-0009 is the submaster produced for derivatives; vocal was recorded with a -10 dB pad; ocal track was boosted 10 dB in mixed down derivatives to compensate; sound levels increase and decrease; occasional drop outs; on Wells drive",Instrument Track; Snare; Bass Drum; Bass; guit 1; vocals (2); guit 2; Leao vox; Back vox,,mono,DCMR,"Borchers, Henry",2013-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=2c3b571c426b4d3,
UMDM,WMUC-Reel-192,,,,,,,,,,,Modern English Interview at WMUC ,Modern English Interview at WMUC,,"WMUC (Radio station : College Park, Md.)","Modern English interview and station identification at WMUC, University of Maryland, undated.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,undated,undated,7,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-192,bcast-019966-0001,00:47:12,00:13:06,Contains a station ID from Modern English at 00:12:53; left channel occasionally drops out,,,stereo,DCMR,"Borchers, Henry",2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=7394167123a04e6,
